category,qns_no,qns,ans
New Student Onboarding/GT Email Account,1,Where do I send my official transcript(s) and other official documents?,"Send your final official transcript(s) and other official documents to the Office of Graduate Education at:
Office of Graduate Education
Georgia Institute of Technology
631 Cherry Street, Room 301
Atlanta, GA 30332-0321
Phone: 404.894.1610
Email: transcripts@grad.gatech.edu"
New Student Onboarding/GT Email Account,2,What happens if I do not submit my official transcript(s) and any other required official documents?,"If you are a new student starting Spring 2024, you will NOT have a missing document hold placed on your
account for transcripts until after registration has ended.
However, you will want to ensure that you submit all required official transcripts/documents as soon as possible to
avoid future holds, especially since those holds could prevent your ability to withdraw from a course in your first
semester, as well as your ability to register/withdraw from future semesters."
New Student Onboarding/GT Email Account,3,Is there an orientation for the OMSCS program?,"Since this is an online program, we do not have a formal or in-person orientation for OMSCS students through the
OMSCS Advising office. However, we encourage you to access general onboarding information online. Next, we
encourage you to watch our OMSCS Orientation video playlist. Finally, a wiki was created for new and existing
students in the OMSCS program, but please note that since OMSCS Advising did not contribute to this document,
we cannot guarantee that all of the information is up-to-date and fully accurate."
New Student Onboarding/GT Email Account,4,What are the expectations regarding my GT email account?,"The Institute, as well as the department, will use your Georgia Tech email address as your official contact.
You are required to keep it active, and you are expected to read your email DAILY as per the Institute’s
policy. This is true even if you are not enrolled that particular semester.
***Also, even if you have arranged for your GT email to be forwarded to your personal account, we encourage you
to check your GT email account directly and often, as we have heard from students on multiple occasions that
their forwarding service did not always work properly. No exceptions will be made simply because you missed an
email that was sent by our department and/or the Institute.***
Please pay special attention to any messages sent from omscs-official@cc.gatech.edu, as important
announcements typically are sent from this account. Since this account is the official mailing list for all OMSCS
students, please do NOT reply or send messages to this account, as this could result in all OMSCS students
receiving your message. All OMSCS students are required to be subscribed to this email list, and only Georgia
Tech email accounts can be added.
While it is not required, we also encourage students to subscribe to the omscs-announce@cc.gatech.edu account
for non-academic events and announcements. You may do this by visiting this webpage.
Finally, students will be added automatically to the OMSCS Student Center in Canvas, and they will receive the
OMSCS Weekly Digest (omscs-digest@lists.gatech.edu)."
New Student Onboarding/GT Email Account,5,How can I access my GT email account?,"Please visit this website for information on how to access your GT email account. We recommend bookmarking
https://mail.gatech.edu so that you can access your GT email account quickly.
Click here to return to Table of Contents
9"
New Student Onboarding/GT Email Account,6,For what purpose will I use my GT email account?,"Please contact all Georgia Tech offices and employees (including OMSCS Advising and your instructors) from
your Georgia Tech email account ending in @gatech.edu. Please do not communicate using your personal email
account. If you do, you will be asked to resubmit your request from your GT email account. This is necessary as
a security step, as we cannot verify the legitimacy of personal email accounts. In that same regard, OMSCS
Advising will only communicate with you through your GT email account.
Also, please keep in mind that registration information, including wait list notifications, will be sent to your GT
email account. As stated previously, even if you have arranged for your GT email to be forwarded to your
personal account, we encourage you to check your GT email account directly, as we have heard from students on
multiple occasions that their forwarding service did not always work properly. No exceptions will be made simply
because you missed an email that was sent by our department and/or the Institute, including wait list notifications."
New Student Onboarding/GT Email Account,7,When will newly-admitted students be added to the official OMSCS mailing list?,"For newly-admitted OMSCS students, OMSCS Advising will send important information to the email account you
listed on your application until you are added to the official OMSCS mailing list (omscs-official@cc.gatech.edu).
This typically will not take place until after Phase II registration has ended. Please note that you may receive
messages twice as we are updating the omscs-official@cc.gatech.edu mailing list. Your patience with this
process is greatly appreciated."
New Student Onboarding/GT Email Account,8,"Who do I contact if I have questions about or issues with my GT email account and/or OSCAR, including","my account being deactivated, if I get locked out of my account, or if I want to set up email forwarding?
Please contact the Office of Information Technology (OIT) for assistance with accessing your GT accounts."
New Student Onboarding/GT Email Account,9,Do I need to set up Two-Factor Authentication/Duo?,"Two-factor authentication is required for all GT students. Please follow the directions online to set up Duo.
Failing to set up Duo will result in being locked out of your account. For assistance, please contact OIT.
Institute Services & Course-Related Resources"
Institute Services & Course-Related Resources,1,I have a documented disability. How do I find out what resources are available to me?,"Please contact the Office of Disability Services, which is a division of the Dean of Students office. The website is:
http://disabilityservices.gatech.edu."
Institute Services & Course-Related Resources,2,Am I eligible to obtain a BuzzCard (student ID) if I am an OMSCS student?,"Yes, this is possible for online students. Please visit this webpage for more information regarding this process.
Students also can obtain their BuzzCard in person when visiting Georgia Tech's campus. For more information,
including the location of the Georgia Tech BuzzCard office, please visit their website."
Institute Services & Course-Related Resources,3,"What is my nine-digit gtID number (90XXXXXXX) used for, and where can I find it?","This nine-digit number was included in your admission letter. You also can visit this webpage for assistance. You
will need to include this nine-digit number every time you contact our office so that we can access your student
record, but please be sure to replace the first two digits with “xx” for security purposes. Your gtID number should
generally only be shared with your advisors and instructors, as well as other relevant Georgia Tech offices (such
as the Registrar’s Office, the Office of Graduate Education, etc.). Otherwise, it is meant to be private."
